
2,3,4,5,6,7,8,9,10,11,
3,3,4,5,6,7,8,9,10,11,
4,4,5,5,6,7,8,9,10,11,
5,5,5,6,7,8,9,9,10,11,
6,6,6,7,8,8,9,10,11,12,
7,7,7,8,8,9,10,10,11,12,
8,8,8,9,9,10,10,11,12,13,
9,9,9,9,10,10,11,12,13,13,
10,10,10,10,11,11,12,13,13,14,
11,11,11,11,12,12,13,13,14,15,

3,5,7,9,11,13,15,17,19,21,
5,6,8,9,11,13,15,17,19,21,
7,8,9,10,12,14,16,18,19,21,
9,9,10,12,13,15,17,18,20,22,
11,11,12,13,15,16,18,19,21,23,
13,13,14,15,16,17,19,20,22,24,
15,15,16,17,18,19,20,22,23,25,
17,17,18,18,19,20,22,23,25,26,
19,19,19,20,21,22,23,25,26,27,
21,21,21,22,23,24,25,26,27,29,

5,7,10,13,16,19,22,25,28,31,
7,9,11,14,17,19,22,25,28,31,
10,11,13,15,18,21,23,26,29,32,
13,14,15,17,20,22,25,27,30,33,
16,17,18,20,22,24,26,29,31,34,
19,19,21,22,24,26,28,30,33,35,
22,22,23,25,26,28,30,32,35,37,
25,25,26,27,29,30,32,34,37,39,
28,28,29,30,31,33,35,37,39,41,
31,31,32,33,34,35,37,39,41,43,

6,9,13,17,21,25,29,33,37,41,
9,12,15,18,22,26,30,33,37,41,
13,15,17,20,24,27,31,35,38,42,
17,18,20,23,26,29,33,36,40,44,
21,22,24,26,29,32,35,38,42,45,
25,26,27,29,32,34,37,40,44,47,
29,30,31,33,35,37,40,43,46,49,
33,33,35,36,38,40,43,46,49,52,
37,37,38,40,42,44,46,49,51,54,
41,41,42,44,45,47,49,52,54,57,

8,12,16,21,26,31,36,41,46,51,
12,15,19,23,27,32,37,42,47,51,
16,19,22,25,30,34,39,43,48,53,
21,23,25,29,33,37,41,45,50,54,
26,27,30,33,36,40,44,48,52,56,
31,32,34,37,40,43,47,50,55,59,
36,37,39,41,44,47,50,54,58,62,
41,42,43,45,48,50,54,57,61,65,
46,47,48,50,52,55,58,61,64,68,
51,51,53,54,56,59,62,65,68,71,

9,14,19,25,31,37,43,49,55,61,
14,17,22,27,33,38,44,50,56,62,
19,22,26,30,35,41,46,52,57,63,
25,27,30,34,39,44,49,54,60,65,
31,33,35,39,43,47,52,57,62,68,
37,38,41,44,47,51,56,60,65,70,
43,44,46,49,52,56,60,64,69,74,
49,50,52,54,57,60,64,68,73,77,
55,56,57,60,62,65,69,73,77,81,
61,62,63,65,68,70,74,77,81,85,
